id,stateid,state_name,uplift_pct,cost,Comment,cash_transfer,food_subsidy,training_program,nrega_program
3402020101,34,Puducherry,15.17%,13850,Uplifted 15.17% in Puducherry due to Cash Transfer (700) + Food Subsidy (450) + Training Program (1) + Nrega Program (1) for 9 months.,700,450,1,1
210901111,21,Rajasthan,15.15%,14300,Uplifted 15.15% in Rajasthan due to Cash Transfer (1000) + Food Subsidy (200) + Training Program (1) + Nrega Program (1) for 9 months.,1000,200,1,1
618060101,6,Goa,15.15%,14550,Uplifted 15.15% in Goa due to Cash Transfer (1000) + Food Subsidy (450) + Nrega Program (1) for 9 months.,1000,450,0,1
60505111,6,Goa,15.14%,14550,Uplifted 15.14% in Goa due to Cash Transfer (1000) + Food Subsidy (450) + Nrega Program (1) for 9 months.,1000,450,0,1
2725140101,27,West Bengal,15.14%,14300,Uplifted 15.14% in West Bengal due to Cash Transfer (1000) + Food Subsidy (200) + Training Program (1) + Nrega Program (1) for 9 months.,1000,200,1,1
230502221,23,Telangana,15.13%,14550,Uplifted 15.13% in Telangana due to Cash Transfer (1000) + Food Subsidy (450) + Nrega Program (1) for 9 months.,1000,450,0,1
232003222,23,Telangana,15.13%,12300,Uplifted 15.13% in Telangana due to Cash Transfer (1000) + Food Subsidy (200) + Nrega Program (1) for 9 months.,1000,200,0,1
2316040111,23,Telangana,15.11%,15200,Uplifted 15.11% in Telangana due to Cash Transfer (700) + Food Subsidy (600) + Training Program (1) + Nrega Program (1) for 9 months.,700,600,1,1
2210070102,22,Tamil Nadu,15.11%,15200,Uplifted 15.11% in Tamil Nadu due to Cash Transfer (700) + Food Subsidy (600) + Training Program (1) + Nrega Program (1) for 9 months.,700,600,1,1
273003113,27,West Bengal,15.11%,12300,Uplifted 15.11% in West Bengal due to Cash Transfer (1000) + Food Subsidy (200) + Nrega Program (1) for 9 months.,1000,200,0,1
50906200,5,Chhattisgarh,15.11%,14300,Uplifted 15.11% in Chhattisgarh due to Cash Transfer (1000) + Food Subsidy (200) + Training Program (1) + Nrega Program (1) for 9 months.,1000,200,1,1
2201030101,22,Tamil Nadu,15.1%,14550,Uplifted 15.1% in Tamil Nadu due to Cash Transfer (1000) + Food Subsidy (450) + Nrega Program (1) for 9 months.,1000,450,0,1
612070101,6,Goa,15.09%,13050,Uplifted 15.09% in Goa due to Cash Transfer (1000) + Food Subsidy (450) for 9 months.,1000,450,0,0
94903100,9,Himachal Pradesh,15.09%,12300,Uplifted 15.09% in Himachal Pradesh due to Cash Transfer (1000) + Food Subsidy (200) + Nrega Program (1) for 9 months.,1000,200,0,1
3209040101,32,Delhi,15.09%,14550,Uplifted 15.09% in Delhi due to Cash Transfer (1000) + Food Subsidy (450) + Nrega Program (1) for 9 months.,1000,450,0,1
200207200,20,Punjab,15.09%,15200,Uplifted 15.09% in Punjab due to Cash Transfer (1000) + Food Subsidy (300) + Training Program (1) + Nrega Program (1) for 9 months.,1000,300,1,1
190208200,19,Odisha,15.06%,13200,Uplifted 15.06% in Odisha due to Cash Transfer (1000) + Food Subsidy (300) + Nrega Program (1) for 9 months.,1000,300,0,1
2804020111,28,Andaman and Nicobar Islands,15.06%,15900,Uplifted 15.06% in Andaman and Nicobar Islands due to Cash Transfer (1000) + Food Subsidy (600) + Nrega Program (1) for 9 months.,1000,600,0,1
305020111,3,Assam,15.03%,15900,Uplifted 15.03% in Assam due to Cash Transfer (1000) + Food Subsidy (600) + Nrega Program (1) for 9 months.,1000,600,0,1
331701111,33,Lakshadweep,15.03%,14550,Uplifted 15.03% in Lakshadweep due to Cash Transfer (1000) + Food Subsidy (450) + Nrega Program (1) for 9 months.,1000,450,0,1
60405100,6,Goa,15.02%,14550,Uplifted 15.02% in Goa due to Cash Transfer (1000) + Food Subsidy (450) + Nrega Program (1) for 9 months.,1000,450,0,1
954070101,9,Himachal Pradesh,15.0%,13200,Uplifted 15.0% in Himachal Pradesh due to Cash Transfer (700) + Food Subsidy (600) + Nrega Program (1) for 9 months.,700,600,0,1
190702111,19,Odisha,14.99%,14550,Uplifted 14.99% in Odisha due to Cash Transfer (1000) + Food Subsidy (450) + Nrega Program (1) for 9 months.,1000,450,0,1
1916060101,19,Odisha,14.99%,14550,Uplifted 14.99% in Odisha due to Cash Transfer (1000) + Food Subsidy (450) + Nrega Program (1) for 9 months.,1000,450,0,1
2407100101,24,Tripura,14.99%,15900,Uplifted 14.99% in Tripura due to Cash Transfer (1000) + Food Subsidy (600) + Nrega Program (1) for 9 months.,1000,600,0,1
2924040101,29,Chandigarh,14.99%,15900,Uplifted 14.99% in Chandigarh due to Cash Transfer (1000) + Food Subsidy (600) + Nrega Program (1) for 9 months.,1000,600,0,1
808060102,8,Haryana,14.98%,11850,Uplifted 14.98% in Haryana due to Cash Transfer (700) + Food Subsidy (450) + Nrega Program (1) for 9 months.,700,450,0,1
806100101,8,Haryana,14.98%,15900,Uplifted 14.98% in Haryana due to Cash Transfer (1000) + Food Subsidy (600) + Nrega Program (1) for 9 months.,1000,600,0,1
2309040111,23,Telangana,14.97%,10500,Uplifted 14.97% in Telangana due to Cash Transfer (1000) + Nrega Program (1) for 9 months.,1000,0,0,1
31112111,3,Assam,14.97%,8900,Uplifted 14.97% in Assam due to Cash Transfer (300) + Food Subsidy (300) + Training Program (1) + Nrega Program (1) for 9 months.,300,300,1,1
815010111,8,Haryana,14.96%,14300,Uplifted 14.96% in Haryana due to Cash Transfer (1000) + Food Subsidy (200) + Training Program (1) + Nrega Program (1) for 9 months.,1000,200,1,1
